userid1,userid2,user_pair
4605,116518,"(4605, 116518)"
4605,104103,"(4605, 104103)"
4605,101686,"(4605, 101686)"
4605,38879,"(4605, 38879)"
4690,74944,"(4690, 74944)"
4690,258576,"(4690, 258576)"
4690,290404,"(4690, 290404)"
4690,230288,"(4690, 230288)"
4712,6147,"(4712, 6147)"
4712,234117,"(4712, 234117)"
4712,18825,"(4712, 18825)"
4712,813685,"(4712, 813685)"
4712,129043,"(4712, 129043)"
4712,24098,"(4712, 24098)"
4712,113065,"(4712, 113065)"
4712,80813,"(4712, 80813)"
4712,23728,"(4712, 23728)"
4712,10676,"(4712, 10676)"
4712,141624,"(4712, 141624)"
4712,319801,"(4712, 319801)"
4712,9150,"(4712, 9150)"
4712,14666,"(4712, 14666)"
4712,26530,"(4712, 26530)"
4712,9178,"(4712, 9178)"
4712,10854,"(4712, 10854)"
4712,78567,"(4712, 78567)"
4712,10601,"(4712, 10601)"
4712,29054,"(4712, 29054)"
4712,28926,"(4712, 28926)"
2102108,2017799,"(2017799, 2102108)"
2102108,1231306,"(1231306, 2102108)"
2102108,24207,"(24207, 2102108)"
2102144,2017799,"(2017799, 2102144)"
2102144,158761,"(158761, 2102144)"
2102144,1162818,"(1162818, 2102144)"
2102144,2374211,"(2102144, 2374211)"
2102144,2158194,"(2102144, 2158194)"
2102144,2089077,"(2089077, 2102144)"
2102144,400022,"(400022, 2102144)"
2102144,63655,"(63655, 2102144)"
2102144,36585,"(36585, 2102144)"
2102144,218434,"(218434, 2102144)"
2102144,492398,"(492398, 2102144)"
2102144,2147704,"(2102144, 2147704)"
2102144,86426,"(86426, 2102144)"
2102144,60843,"(60843, 2102144)"
2102144,283591,"(283591, 2102144)"
2102144,1231306,"(1231306, 2102144)"
2102144,1718249,"(1718249, 2102144)"
2102144,2198003,"(2102144, 2198003)"
2102144,103416,"(103416, 2102144)"
5072,7552,"(5072, 7552)"
5072,27786,"(5072, 27786)"
5072,140227,"(5072, 140227)"
5072,11037,"(5072, 11037)"
5072,14754,"(5072, 14754)"
5072,15152,"(5072, 15152)"
5072,10803,"(5072, 10803)"
5072,8756,"(5072, 8756)"
5072,9150,"(5072, 9150)"
5072,19535,"(5072, 19535)"
5072,9170,"(5072, 9170)"
5072,22102,"(5072, 22102)"
5072,12892,"(5072, 12892)"
5072,8552,"(5072, 8552)"
5072,18409,"(5072, 18409)"
5072,9963,"(5072, 9963)"
5072,12914,"(5072, 12914)"
5072,229523,"(5072, 229523)"
5072,12917,"(5072, 12917)"
5073,19724,"(5073, 19724)"
5073,11153,"(5073, 11153)"
5073,42005,"(5073, 42005)"
5073,112709,"(5073, 112709)"
5073,11979,"(5073, 11979)"
5073,73678,"(5073, 73678)"
5073,11174,"(5073, 11174)"
5073,12198,"(5073, 12198)"
5073,112744,"(5073, 112744)"
2102229,283130,"(283130, 2102229)"
2102229,71917,"(71917, 2102229)"
2102229,370207,"(370207, 2102229)"
5095,102442,"(5095, 102442)"
5095,89270,"(5095, 89270)"
5095,218557,"(5095, 218557)"
5095,14666,"(5095, 14666)"
5095,13050,"(5095, 13050)"
5301,1778367,"(5301, 1778367)"
5317,284037,"(5317, 284037)"
5317,21400,"(5317, 21400)"
5317,8476,"(5317, 8476)"
5388,245865,"(5388, 245865)"
2102593,119251,"(119251, 2102593)"
2102593,100910,"(100910, 2102593)"
5641,2017799,"(5641, 2017799)"
5641,76390,"(5641, 76390)"
5641,307998,"(5641, 307998)"
5641,319801,"(5641, 319801)"
5641,106328,"(5641, 106328)"
5641,1231306,"(5641, 1231306)"
5641,132083,"(5641, 132083)"
2102861,23728,"(23728, 2102861)"
2102861,27544,"(27544, 2102861)"
2102861,165140,"(165140, 2102861)"
5853,66583,"(5853, 66583)"
5853,16665,"(5853, 16665)"
5853,11037,"(5853, 11037)"
5853,69156,"(5853, 69156)"
5853,13099,"(5853, 13099)"
5853,11695,"(5853, 11695)"
5853,213297,"(5853, 213297)"
5853,20162,"(5853, 20162)"
5853,140227,"(5853, 140227)"
5853,10567,"(5853, 10567)"
5853,2224464,"(5853, 2224464)"
5853,2280415,"(5853, 2280415)"
5853,9963,"(5853, 9963)"
6017,342058,"(6017, 342058)"
6017,79428,"(6017, 79428)"
6017,192088,"(6017, 192088)"
6017,193811,"(6017, 193811)"
6017,390775,"(6017, 390775)"
6017,233592,"(6017, 233592)"
6017,295582,"(6017, 295582)"
6017,206010,"(6017, 206010)"
6017,232197,"(6017, 232197)"
6017,235281,"(6017, 235281)"
6017,163143,"(6017, 163143)"
6017,167351,"(6017, 167351)"
6017,231867,"(6017, 231867)"
6017,72126,"(6017, 72126)"
6017,2093016,"(6017, 2093016)"
6017,113658,"(6017, 113658)"
6033,278728,"(6033, 278728)"
6033,331000,"(6033, 331000)"
6097,64683,"(6097, 64683)"
6097,38776,"(6097, 38776)"
6147,16903,"(6147, 16903)"
6147,209821,"(6147, 209821)"
6147,8204,"(6147, 8204)"
6147,133805,"(6147, 133805)"
6147,10279,"(6147, 10279)"
6147,26664,"(6147, 26664)"
6147,23082,"(6147, 23082)"
6147,235564,"(6147, 235564)"
6147,57192,"(6147, 57192)"
6147,31280,"(6147, 31280)"
6147,10803,"(6147, 10803)"
6147,8756,"(6147, 8756)"
6147,394302,"(6147, 394302)"
6147,90176,"(6147, 90176)"
6147,52820,"(6147, 52820)"
6147,30293,"(6147, 30293)"
6147,22102,"(6147, 22102)"
6147,12892,"(6147, 12892)"
6147,10854,"(6147, 10854)"
6147,12914,"(6147, 12914)"
6147,26752,"(6147, 26752)"
6147,281218,"(6147, 281218)"
6147,27786,"(6147, 27786)"
6147,24207,"(6147, 24207)"
6147,8850,"(6147, 8850)"
6147,327037,"(6147, 327037)"
6147,16754,"(6147, 16754)"
6147,23214,"(6147, 23214)"
6147,20180,"(6147, 20180)"
6147,22760,"(6147, 22760)"
6147,14569,"(6147, 14569)"
6147,126703,"(6147, 126703)"
6147,17147,"(6147, 17147)"
6147,2086957,"(6147, 2086957)"
6147,8480,"(6147, 8480)"
6147,49442,"(6147, 49442)"
6147,2017799,"(6147, 2017799)"
6147,83753,"(6147, 83753)"
6147,13099,"(6147, 13099)"
6147,53041,"(6147, 53041)"
6147,20286,"(6147, 20286)"
6147,10567,"(6147, 10567)"
6147,1325897,"(6147, 1325897)"
6147,14666,"(6147, 14666)"
6147,319801,"(6147, 319801)"
6147,109912,"(6147, 109912)"
6147,9062,"(6147, 9062)"
6147,14184,"(6147, 14184)"
6147,29054,"(6147, 29054)"
6147,7552,"(6147, 7552)"
6147,25478,"(6147, 25478)"
6147,25488,"(6147, 25488)"
